GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 0-30mph Time(s),0-60mph Time(s),40-60mph Time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Average trip speed(whilst moving only)(mph),Average trip speed(whilst stopped or moving)(mph),Cost per mile/km (Instant)($/m),Cost per mile/km (Trip)($/m),Drivers demand engine % torque(%),EGR Commanded(%),EGR Error(%),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(Â°C),Engine reference torque(Nm),Engine RPM(rpm),Exhaust gas temp Bank 1 Sensor 1(Â°C),Exhaust gas temp Bank 1 Sensor 2(Â°C),Exhaust gas temp Bank 2 Sensor 1(Â°C),Exhaust gas temp Bank 2 Sensor 2(Â°C),Exhaust Pressure(psi),Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Fuel Rate (direct from ECU)(L/m),GPS Accuracy(ft),GPS Altitude(ft),GPS Bearing(Â°),GPS Latitude(Â°),GPS Longitude(Â°),GPS Satellites,Horsepower (At the wheels)(hp),Intake Air Temperature(Â°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Percentage of City driving(%),Percentage of Highway driving(%),Relative Accelerator Pedal Position(%),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(mph),Speed (OBD)(mph),Throttle Position(Manifold)(%),Torque(Nm),Transmission Temperature(Method 2)(Â°C),Trip Distance(miles),Trip time(whilst moving)(s),Trip time(whilst stationary)(s)
Fri May 25 19:23:11 EDT 2018,23:11.2,-79.82919453,43.74886995,9.033957,3,230.3901558,293.7878,-4.08929634,-6.57926607,6.50744009,0.01504461,-,-,-,7.05882359,0.00638008,12.54901981,12.15686321,-,-,14.78164673,14.80587101,10.62759018,1.57244956,0.13484725,0.38672814,-,-,-,45.49019623,21.96078491,-,-,1525,-,-,-,-,-,1.34545028,0.02242417,-,9.84251976,755.87323,293.7878113,43.74887085,-79.82919312,15,8.08305359,46,6.28297424,25.36166382,10.25866985,0,-,3.52941179,346,20.20838547,19.88387871,7.84313726,-,-,0.14315689,44.5929985,301.5610046
Fri May 25 19:23:14 EDT 2018,23:14.2,-79.82952568,43.74895097,9.49498,3,230.2015922,278.1336,-5.30674791,-8.04930592,4.61003542,0.06886639,-,-,-,4.70588255,0.00179363,0,0,-,-,14.65379333,14.96198654,11.5730381,1.86099112,0.08580162,0.34856904,-,-,-,22.35294151,23.52941132,-,-,937.5,-,-,-,-,-,0.40402535,0.00673376,-,9.84251976,755.2545776,278.133606,43.74895096,-79.82952881,15,8.58200359,46,20.9230175,25.34537125,11.10561085,0,-,1.17647064,349,21.23966408,17.39839363,4.31372547,48.88828278,-,0.16070959,47.89099884,301.5610046
Fri May 25 19:23:17 EDT 2018,23:17.2,-79.82979726,43.74896613,6.301701,3,230.0056634,267.20114,-3.57574034,-6.83065748,5.47673655,0.01752863,-,-,-,4.70588255,-0.03563503,0,0,-,-,14.7376833,14.79196453,11.69639969,1.97849536,0.04207852,0.32633439,-,-,-,22.74509811,16.47058868,-,-,1025,-,-,-,-,-,0.42222354,0.00703706,-,9.84251976,754.6117554,267.2011414,43.74896622,-79.82979584,15,-,46,8.75928307,25.34216309,11.86925888,0,-,1.17647064,352,14.09650326,6.21371174,4.70588255,-,-,0.17435668,50.91899872,301.5610046
Fri May 25 19:23:20 EDT 2018,23:20.2,-79.82991159,43.74895471,3.3806145,3,229.9837394,258.81677,-2.46363354,-6.53497362,6.45117664,0.00598525,-,-,-,10.98039246,-0.02472747,33.72549057,33.33333206,-,-,14.63764286,14.68160725,11.32276344,2.00797772,0.06452571,0.30855805,-,-,-,43.92156982,36.07843018,-,-,1725,-,-,-,-,-,1.50071502,0.02501192,-,9.84251976,754.5397949,258.8167725,43.74895477,-79.82991028,15,2.25385356,45,1.76029193,25.32436943,12.54831505,0,-,6.66666698,355,7.56221914,7.45645428,10.58823586,-,-,0.1801389,53.65599823,301.5610046
Fri May 25 19:23:23 EDT 2018,23:23.2,-79.83008021,43.74892796,5.4536724,3,229.7386991,264.42975,-4.72735119,-6.4739213,6.22851562,0.04264016,-,-,-,11.76470566,-0.04610658,29.41176605,29.01960754,-,-,14.71390629,14.61790466,11.28027725,2.1355865,0.37079686,0.30513924,-,-,-,45.09804153,35.29411697,-,-,1800,-,-,-,-,-,1.60199666,0.02669994,-,9.84251976,753.7359009,264.4297485,43.74892807,-79.83007812,14,13.39275932,45,3.29800534,25.28367233,13.24921989,0,-,7.05882359,358,12.1995182,13.67016602,12.15686321,54.10869217,-,0.18880072,56.52600098,301.5610046
Fri May 25 19:23:26 EDT 2018,23:26.2,-79.83032817,43.74888964,6.4708447,3,229.5084262,248.0646,-3.25012875,-6.57806921,6.04296494,0.01585951,-,-,-,8.23529434,-0.02615535,16.47058868,15.68627453,-,-,14.94359398,14.79196453,11.4805727,2.30710077,0.12076444,0.29117379,-,-,-,38.82352829,25.88235283,-,-,1600,-,-,-,-,-,1.16430354,0.01940506,-,9.84251976,752.9804077,248.0646057,43.74888992,-79.8303299,14,7.26101828,45,5.44537735,25.26568031,14.06919956,0,-,4.70588255,361,14.47486687,14.91290855,7.84313726,29.27699661,-,0.20152009,59.94300079,301.5610046
Fri May 25 19:23:29 EDT 2018,23:29.2,-79.83055963,43.74880461,7.3651667,3,229.4136193,241.27771,-2.60369444,-5.73291588,5.3450551,0.00141757,-,-,-,9.4117651,0.12394775,19.2156868,18.4313736,-,-,14.7417202,14.69596195,11.66483212,2.43247676,0.11410491,0.2827369,-,-,-,47.84313965,28.23529434,-,-,1300,-,-,-,-,-,1.16888165,0.01948136,-,9.84251976,752.6693726,241.27771,43.748806,-79.83055878,14,7.51540375,45,5.87605381,25.24707794,14.7240324,0,-,5.49019623,363,16.47540855,17.39839363,7.84313726,34.71118164,-,0.21451965,62.71900177,301.5610046
Fri May 25 19:23:32 EDT 2018,23:32.2,-79.83081957,43.74868447,8.5341,3,229.0281732,226.71231,-3.53743291,-6.84143114,5.97951889,0.06270029,-,-,-,9.4117651,-0.02924768,18.4313736,18.03921509,-,-,14.83996487,14.75966454,12.08368587,2.65389371,0.1186283,0.26515639,-,-,-,50.19607925,36.86274338,-,-,1275,-,-,-,-,-,1.22138357,0.02035639,-,9.84251976,751.4047241,226.7123108,43.74868393,-79.83081818,14,8.35654068,44,6.48861694,25.2315197,15.3735714,0,-,6.27450991,367,19.09023666,19.88387871,9.8039217,40.08764267,-,0.22996469,65.51499939,301.5610046
Fri May 25 19:23:35 EDT 2018,23:35.2,-79.83105895,43.74848567,9.870947,3,228.5442992,222.42615,-2.85388851,-6.54455042,6.17464638,-0.01458896,-,-,-,14.50980377,0.04888501,30.58823586,30.19607925,-,-,14.69999981,14.3357296,12.601408,2.90355015,0.1253055,0.25174236,-,-,-,60.7843132,51.76470566,-,-,1462.5,-,-,-,-,-,1.71110821,0.02851847,-,9.84251976,749.8172607,222.4261475,43.74848557,-79.83106232,14,9.16677094,44,5.55786467,25.18989944,16.1368618,0,-,10.58823586,369,22.08067894,23.61210442,14.50980377,42.60956573,-,0.24818541,68.85600281,301.5610046
Fri May 25 19:23:38 EDT 2018,23:38.2,-79.83133068,43.74825053,11.358592,3,228.2522492,219.57204,-3.38899255,-6.33745193,6.03817654,-0.00517118,-,-,-,10.58823586,0.01617658,20,19.2156868,-,-,14.81394672,14.78164673,13.04879475,3.09834409,0.40922448,0.23882575,-,-,-,55.29411697,39.2156868,-,-,1250,-,-,-,-,-,1.2786659,0.0213111,-,9.84251976,748.8590698,219.5720367,43.74824905,-79.83132935,14,19.48882866,43,8.67711067,25.16922951,16.75688362,0,-,7.05882359,373,25.40844536,26.09758949,12.94117641,51.22017288,-,0.26936334,71.61499786,301.5610046
Fri May 25 19:23:41 EDT 2018,23:41.2,-79.83159477,43.74797922,12.300908,3,228.4417582,214.48132,-3.34829116,-6.4739213,5.84424639,0.03987159,-,-,-,9.4117651,-0.00177317,16.47058868,15.68627453,-,-,14.72960758,14.76190758,13.78314304,3.41474247,0.06422725,0.22367279,-,-,-,36.07843018,38.4313736,-,-,1212.5,-,-,-,-,-,0.71817094,0.01196952,-,9.84251976,749.480835,214.4813232,43.74797821,-79.83159637,14,9.61740112,42,16.18481636,25.14814186,17.38186836,0,-,6.27450991,375,27.51634789,27.34033203,8.23529434,54.24409103,-,0.29229921,75.02700043,301.5610046
Fri May 25 19:23:44 EDT 2018,23:44.2,-79.83185187,43.74769957,12.480639,3,228.7401982,214.52437,-3.38779545,-6.60560226,5.38934803,-0.02033126,-,-,-,9.4117651,-0.06847044,19.6078434,19.2156868,-,-,14.66994286,14.71973896,14.48437691,3.73375034,0.05313872,0.21389556,-,-,-,42.74509811,37.64706039,-,-,1187.5,-,-,-,-,-,0.92226702,0.01537112,-,9.84251976,750.4599609,214.5243683,43.74769974,-79.83184814,14,-,43,12.6031456,25.13580132,18.12872505,0,-,5.88235283,378,27.918396,27.34033203,10.1960783,54.24409103,-,0.31550118,77.86799622,301.5610046
Fri May 25 19:23:47 EDT 2018,23:47.2,-79.83211425,43.74741147,12.568287,3,228.9939083,214.7067,-3.21660995,-6.83664274,5.05775118,-0.01961272,-,-,-,4.70588255,-0.03760823,0,0,-,-,0,29.39955139,14.91290855,3.94173789,0.06288885,0.19633542,-,-,-,20.3921566,15.68627453,-,-,1112.5,-,-,-,-,-,0,0,-,9.84251976,751.2923584,214.7066956,43.74740982,-79.83211517,14,-,42,217.6716766,25.13820076,18.71634293,0,-,1.17647064,381,28.11445618,26.09758949,4.70588255,-,-,0.33933955,80.61100006,301.5610046
Fri May 25 19:23:50 EDT 2018,23:50.2,-79.83236171,43.74714962,11.520748,3,229.1638764,215.55377,-3.63918662,-6.7540431,5.09605837,-0.04212624,-,-,-,4.70588255,0.02314665,0,0,-,-,0,29.39955139,15.38633442,4.21451759,0,0.18368948,-,-,-,20.7843132,15.68627453,-,-,1100,-,-,-,-,-,0,0,-,9.84251976,751.8499756,215.553772,43.74715042,-79.83235931,14,-,43,217.6716766,25.15328789,19.42808914,0,-,1.17647064,384,25.7711792,23.61210442,4.70588255,-,-,0.36125419,84.02300262,301.5610046
Fri May 25 19:23:53 EDT 2018,23:53.2,-79.8325807,43.74692079,9.9836855,3,229.3049067,215.31502,-4.08570528,-7.66144562,4.15872812,0.00652542,-,-,-,4.70588255,-0.01828414,0,0,-,-,0,13.99972248,15.58207798,4.3656683,0,0.1768074,-,-,-,21.96078491,16.47058868,-,-,1025,-,-,-,-,-,0.48381212,0.00806354,-,9.84251976,752.3126831,215.3150177,43.74692154,-79.83258057,14,-,43,17.47254562,25.16077232,20.01045418,0,-,1.17647064,387,22.33286667,17.39839363,4.70588255,-,-,0.38048178,86.79399872,301.5610046
Fri May 25 19:23:56 EDT 2018,23:56.2,-79.8327283,43.74676691,5.936198,3,229.3786895,216.25488,-3.36505055,-6.98029518,5.55095673,0.00231628,-,-,-,4.70588255,0.00026712,0,0,-,-,12.49957561,12.78982544,15.50645638,4.43988276,0.01516204,0.1691355,-,-,-,21.17647171,16.47058868,-,-,1087.5,-,-,-,-,-,0.48970827,0.0081618,-,9.84251976,752.5547485,216.2548828,43.74676514,-79.83272552,14,-,43,7.55220079,25.15657806,20.60293198,0,-,1.17647064,390,13.27889729,6.21371174,4.70588255,-,-,0.39342394,89.69200134,301.5610046
