GPS_Speed,Absolute_Throttle_Position_B,Average_trip_speed(moving only),Engine_Load(%),Engine_Load(Absolute)(%),Engine_RPM,Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Relative Throttle Position(%),Speed(mph),Throttle Position(Manifold)(%),Torque(Nm),Normal Driving
23.425276,14.11764717,20.15473175,65.88235474,47.84313583,1662.5,2.09547615,0.0349246,9.8039217,52.19517899,14.11764717,-,1
23.745462,18.4313736,20.75926971,69.01960754,56.47058868,1762.5,2.38342643,0.03972377,13.72549057,52.19517899,18.4313736,-,1
24.266691,17.64705849,21.35675621,70.58823395,56.47058868,1675,2.31023216,0.03850387,13.33333397,53.43792343,17.64705849,77.30242157,1
24.923674,16.47058868,21.76314735,60.39215851,55.68627548,1487.5,1.61987722,0.02699795,12.54901981,55.92340851,18.03921509,81.88722992,1
25.634932,20.7843132,22.37680435,71.76470947,61.96078491,1700,2.37783313,0.03963055,16.07843208,57.16614914,21.56862831,-,1
26.718912,15.68627453,23.00535393,62.35294342,54.90196228,1612.5,1.9285326,0.03214221,11.37254906,59.65163422,16.07843208,110.2118683,1
27.716026,16.47058868,23.43869972,70.58823395,57.25490189,1662.5,2.24142313,0.03735705,12.54901981,60.89437866,15.68627453,-,1
27.699081,10.98039246,23.87636757,60,32.94117737,1625,1.77963328,0.02966055,6.27450991,60.89437866,10.1960783,120.7809753,1
27.276142,15.29411793,24.5037899,68.62744904,54.11764526,1612.5,2.01728463,0.03362141,10.58823586,59.65163422,14.90196133,-,1
26.594473,5.09803915,24.89650345,16.07843208,14.11764717,1512.5,0,0,0.78431374,58.40889359,5.49019623,-,1
25.072905,4.70588255,25.24620819,16.86274529,12.54901981,1437.5,0,0,0.78431374,54.68066406,4.70588255,-,1
24.448723,10.98039246,25.71936417,61.56863022,40.7843132,1437.5,2.05039191,0.0341732,7.45098066,53.43792343,9.01960754,-,1
24.775213,19.2156868,26.18398476,76.86274719,61.96078491,1775,2.68509436,0.04475157,14.90196133,54.68066406,24.31372643,126.3438339,1
25.55603,25.88235283,26.49868774,70.98039246,62.74509811,1987.5,2.96186018,0.04936434,21.17647171,57.16614914,23.13725471,70.84901428,1
26.305193,18.4313736,26.98433685,65.88235474,58.03921509,1562.5,1.99634218,0.03327237,14.11764717,58.40889359,18.4313736,-,1
26.454866,6.66666698,27.46779251,48.62745285,16.47058868,1562.5,1.43484902,0.02391415,1.96078432,58.40889359,9.4117651,-,1
26.41144,9.8039217,27.78191566,53.33333588,25.88235283,1562.5,1.53532791,0.0255888,5.09803915,58.40889359,11.76470566,-,1
25.954025,5.09803915,28.08972549,15.68627453,15.68627453,1475,0,0,0.78431374,57.16614914,6.27450991,-,1
24.431465,9.8039217,28.49079323,28.62745094,27.45098114,1425,0.55422127,0.00923702,5.88235283,53.43792343,12.15686321,-,1
23.534136,13.72549057,28.84374809,74.50980377,53.33333206,1400,1.87457323,0.03124289,10.1960783,52.19517899,13.33333397,-,1
22.537779,4.31372547,29.0573597,16.47058868,13.33333302,1275,0,0,1.17647064,48.46695328,4.70588255,-,1
19.67249,4.70588255,29.20741844,20.3921566,14.90196037,1112.5,0,0,1.17647064,42.25324249,4.70588255,-,1
18.678015,10.1960783,29.31929588,72.94117737,40.7843132,1575,2.50913596,0.04181893,6.66666698,41.01049805,10.58823586,-,1
18.895409,4.70588255,29.43490791,18.8235302,20.3921566,1187.5,0,0,0.78431374,41.01049805,7.05882359,-,1
17.495367,4.31372547,29.57266617,19.6078434,15.68627453,1137.5,0,0,1.17647064,38.52501297,4.70588255,-,1
14.371022,4.31372547,29.65557861,15.68627453,15.68627453,1512.5,0,0,1.17647064,28.58307457,4.70588255,-,1
9.20615,4.70588255,29.60651016,19.2156868,12.54901981,1062.5,0.42848599,0.00714143,1.17647064,18.64113617,5.09803915,-,1
8.39032,4.31372547,29.44855499,29.01960754,15.68627453,1187.5,0.82066166,0.01367769,0.78431374,17.39839363,4.31372547,-,1
10.077878,16.07843208,29.3112011,66.27451324,48.62745285,1987.5,2.63875055,0.04397917,10.98039246,23.61210442,16.07843208,27.73238182,1
13.0453,16.86274529,29.28313446,65.88235474,50.98039246,1925,2.56265974,0.042711,12.15686321,29.82581711,16.86274529,60.70978165,1
14.822484,14.11764717,29.29859352,66.27451324,49.41176605,1575,2.00121069,0.03335351,9.8039217,33.55404282,14.50980377,97.96437073,1
15.748456,7.45098066,29.36377144,41.96078491,32.15686417,1150,0.90627885,0.01510465,3.92156863,34.79678726,7.45098066,78.66278076,1
15.976468,5.88235283,29.40981483,42.35294342,28.23529434,1150,0.90557724,0.01509295,2.74509811,34.79678726,5.88235283,78.66278076,1
16.453884,6.66666698,29.46552658,40.39215851,36.86274338,1150,0.99722248,0.01662038,3.13725495,37.28227234,7.45098066,77.93445587,1
17.946424,12.15686321,29.56798744,70.19608307,47.84313583,1412.5,1.82532537,0.03042209,8.62745094,39.76775742,10.1960783,88.45941162,1
19.663553,14.90196133,29.71886063,58.8235321,55.68627548,1337.5,1.48292494,0.02471541,10.98039246,42.25324249,14.50980377,161.1090393,1
17.944193,4.31372547,29.85600662,20.7843132,16.47058868,1100,0,0,1.17647064,38.52501297,4.70588255,-,1
16.473572,4.70588255,29.91565323,20.3921566,22.74509811,1212.5,0,0,0.78431374,36.03952789,9.01960754,-,1
13.065405,4.31372547,29.94417381,20.3921566,15.68627453,1137.5,0,0,1.17647064,29.82581711,4.70588255,-,1
13.649619,4.70588255,29.94324112,21.96078491,14.90196037,1200,0.55947822,0.00932464,1.17647064,28.58307457,4.31372547,-,1
12.608298,4.70588255,29.92736435,21.96078491,15.68627453,1187.5,0,0,1.17647064,27.34033203,4.70588255,-,1
12.336468,4.31372547,29.89751244,21.17647171,16.47058868,1050,0.41270304,0.00687838,1.17647064,27.34033203,4.31372547,-,1
12.67913,4.31372547,29.87799263,17.64705849,15.68627453,1250,0.41180092,0.00686335,1.17647064,28.58307457,4.31372547,-,1
13.450754,7.05882359,29.86818314,20,16.47058868,2062.5,0.84707355,0.01411789,1.96078432,29.82581711,6.66666698,-,1
13.687191,8.23529434,29.86786461,64.70588684,21.96078491,1750,2.16885376,0.03614756,3.52941179,31.06855965,10.98039246,-,1
14.17691,13.33333397,29.87682533,69.41176605,54.11764526,1387.5,1.81246746,0.03020779,9.8039217,31.06855965,13.72549057,-,1
14.021976,4.70588255,29.88543129,18.8235302,25.88235283,1262.5,0,0,1.17647064,29.82581711,4.70588255,-,1
12.160785,4.31372547,29.86663628,24.70588303,14.90196037,1137.5,0.29350305,0.00489172,1.17647064,26.09758949,4.31372547,-,1
12.347374,18.4313736,29.83932495,73.72549438,60.39215851,1675,2.53329062,0.04222151,14.50980377,27.34033203,18.03921509,-,1
14.200401,17.64705849,29.8391819,69.41176605,57.25490189,1375,1.89679635,0.03161327,14.11764717,31.06855965,14.50980377,100.497139,1
15.290432,16.47058868,29.8698864,71.37255096,58.03921509,1575,1.74543107,0.02909052,12.54901981,33.55404282,16.47058868,61.41287231,1
15.963698,5.09803915,29.92174721,32.54901886,23.52941132,1075,0.7015354,0.01169226,1.56862748,34.79678726,5.09803915,63.45170593,1
15.287901,4.31372547,29.96821594,18.8235302,14.90196037,1162.5,0,0,1.17647064,32.31130219,4.70588255,-,1
11.257818,4.70588255,29.96247673,16.07843208,12.54901981,1387.5,0,0,0.78431374,23.61210442,4.70588255,-,1
11.399897,14.11764717,29.89767647,68.62744904,53.33333206,1525,2.3148334,0.03858056,10.1960783,26.09758949,14.50980377,84.71723175,1
13.321033,16.07843208,29.87184525,52.15686417,57.25490189,1125,1.15790939,0.01929849,12.15686321,29.82581711,16.07843208,96.34654236,1
13.8060255,4.70588255,29.87153625,22.74509811,25.88235283,1112.5,0,0,0.78431374,29.82581711,6.27450991,96.34654236,1
12.492482,4.31372547,29.85873604,20.3921566,15.68627453,1125,0,0,1.17647064,27.34033203,4.70588255,-,1
11.239002,4.31372547,29.81766891,19.6078434,15.68627453,1125,0,0,1.17647064,23.61210442,4.70588255,-,1
9.335142,4.31372547,29.76914406,22.74509811,16.47058868,1050,0,0,1.17647064,18.64113617,4.70588255,-,1
2.9959755,4.31372547,29.60132217,21.96078491,16.47058868,1050,0.53922522,0.00898709,1.17647064,4.97096968,4.70588255,-,1
3.7628112,9.8039217,29.37318802,53.33333588,35.29411697,1912.5,1.96141839,0.03269031,5.49019623,9.94193935,10.58823586,21.59887886,1
7.8598895,22.35294151,29.27348709,71.76470947,54.11764526,2237.5,3.4666729,0.05777788,16.86274529,18.64113617,20,67.45735931,1
11.44571,22.35294151,29.23384857,75.29412079,61.96078491,1825,2.70496678,0.04508278,18.03921509,26.09758949,23.13725471,139.2519074,1
14.206332,24.70588303,29.23366547,78.03921509,62.74509811,2037.5,3.25644016,0.054274,20,32.31130219,23.92156982,131.8070831,1
16.7894,28.62745094,29.26445389,77.2549057,65.88235474,2062.5,3.27133465,0.05452224,23.92156982,37.28227234,29.01960754,102.862915,1
19.176062,34.11764908,29.36170578,79.60784149,69.01960754,2012.5,3.42016745,0.05700279,29.41176605,42.25324249,29.41176605,88.8794632,1
21.030294,27.05882454,29.50277901,72.94117737,65.88235474,1675,2.44629264,0.04077155,23.52941132,47.22420883,24.31372643,101.1730118,1
22.071491,20.7843132,29.61428452,75.29412079,58.82352829,1900,2.80715394,0.0467859,16.07843208,49.70969391,20.3921566,68.43781281,1
22.883173,22.35294151,29.79961586,73.33333588,62.74509811,1800,2.66031814,0.04433864,18.4313736,50.95243835,18.8235302,-,1
23.510532,21.17647171,29.99275398,56.47058868,60.39215851,1662.5,1.792871,0.02988118,16.86274529,52.19517899,21.17647171,-,1
23.24362,14.90196133,30.12083054,72.15686035,52.54901886,1450,1.92523634,0.03208727,11.37254906,50.95243835,9.01960754,-,1
23.418732,16.47058868,30.3082943,69.80392456,55.68627548,1612.5,2.16091204,0.0360152,12.15686321,52.19517899,16.47058868,87.43490601,1
23.688568,15.68627453,30.43628693,70.19608307,55.68627548,1550,2.02696729,0.03378279,11.37254906,52.19517899,15.68627453,87.43490601,1
23.942696,14.90196133,30.62909889,69.80392456,54.11764526,1475,2.01504159,0.03358402,10.58823586,53.43792343,14.90196133,96.78741455,1
23.954342,14.11764717,30.82572556,67.45098114,54.90196228,1537.5,1.9131645,0.03188607,10.1960783,53.43792343,14.50980377,-,1
24.095728,15.29411793,31.01899147,70.98039246,56.47058868,1650,2.20134282,0.03668905,11.37254906,53.43792343,16.07843208,-,1
24.229927,15.68627453,31.14601135,69.01960754,55.68627548,1637.5,2.15490031,0.035915,11.37254906,53.43792343,16.47058868,-,1
24.547827,16.86274529,31.33735466,63.52941132,54.90196228,1637.5,1.93113697,0.03218562,12.54901981,54.68066406,15.29411793,-,1
24.176401,4.70588255,31.46776581,20.7843132,21.1764698,1400,0.60860246,0.01014337,1.17647064,53.43792343,10.98039246,-,1
23.515408,12.15686321,31.64001465,69.41176605,47.84313583,1387.5,1.78950059,0.02982501,8.62745094,52.19517899,12.15686321,-,1
23.72466,11.76470566,31.80942535,63.92156982,43.92156982,1400,1.66951764,0.0278253,8.23529434,52.19517899,11.76470566,-,1
23.757051,12.15686321,31.97606659,69.01960754,52.54901886,1400,1.80523181,0.0300872,8.62745094,52.19517899,13.72549057,-,1
