GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 0-30mph Time(s),0-60mph Time(s),40-60mph Time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Air Fuel Ratio(Commanded)(:1),Air Fuel Ratio(Measured)(:1),Average trip speed(whilst moving only)(mph),Average trip speed(whilst stopped or moving)(mph),Cost per mile/km (Instant)($/m),Cost per mile/km (Trip)($/m),Drivers demand engine % torque(%),EGR Commanded(%),EGR Error(%),Engine Load(%),Engine Load(Absolute)(%),Engine Oil Temperature(Â°C),Engine reference torque(Nm),Engine RPM(rpm),Exhaust gas temp Bank 1 Sensor 1(Â°C),Exhaust gas temp Bank 1 Sensor 2(Â°C),Exhaust gas temp Bank 2 Sensor 1(Â°C),Exhaust gas temp Bank 2 Sensor 2(Â°C),Exhaust Pressure(psi),Fuel flow rate/hour(gal/hr),Fuel flow rate/minute(gal/min),Fuel Rate (direct from ECU)(L/m),GPS Accuracy(ft),GPS Altitude(ft),GPS Bearing(Â°),GPS Latitude(Â°),GPS Longitude(Â°),GPS Satellites,Horsepower (At the wheels)(hp),Intake Air Temperature(Â°C),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Percentage of City driving(%),Percentage of Highway driving(%),Relative Accelerator Pedal Position(%),Relative Throttle Position(%),Run time since engine start(s),Speed (GPS)(mph),Speed (OBD)(mph),Throttle Position(Manifold)(%),Torque(Nm),Transmission Temperature(Method 2)(Â°C),Trip Distance(miles),Trip time(whilst moving)(s),Trip time(whilst stationary)(s)
Fri May 25 19:32:45 EDT 2018,32:44.5,-79.87946494,43.75665774,15.004924,4,246.4262577,135.30946,1.55982244,-8.51378155,4.28801537,0.00473743,-,-,-,17.64705849,-0.02705254,35.29411697,34.11764908,-,-,14.6919241,14.63584995,30.40576363,22.16788864,0.09627939,0.05517718,-,-,-,73.33333588,58.03921509,-,-,1437.5,-,-,-,-,-,2.02113342,0.03368556,-,13.12335968,808.4851074,135.3094635,43.75665665,-79.8794632,14,13.61048222,33,7.05800104,22.62491417,55.63679504,3.94620109,-,13.33333397,906,33.56505585,33.55404282,16.47058868,107.2629471,-,4.80444956,561.335022,358.480011
Fri May 25 19:32:48 EDT 2018,32:47.5,-79.8790429,43.75632422,16.522142,4,246.5742199,134.26425,1.10971248,-8.08162785,4.46758032,-0.02502126,-,-,-,16.86274529,0.01987122,35.29411697,34.50980377,-,-,14.68564415,14.6555872,30.43818283,22.22878075,0.16880073,0.05534698,-,-,-,72.54901886,58.82352829,-,-,1550,-,-,-,-,-,2.16404271,0.03606738,-,13.12335968,808.97052,134.2642517,43.75632477,-79.87904358,13,16.30604362,32,7.32433844,22.58946609,55.78360367,3.93314195,-,12.94117641,909,36.95897675,37.28227234,17.25490189,123.9712982,-,4.83569956,564.3889771,358.480011
Fri May 25 19:32:51 EDT 2018,32:50.6,-79.87857183,43.7559841,18.455513,4,246.98321,135.36264,0.9672575,-8.263587,4.82790756,0.0232773,-,-,-,18.8235302,0.02363353,38.82352829,38.03921509,-,-,14.67398071,14.75562763,30.47153091,22.27779198,0.0952635,0.0553575,-,-,-,72.15686035,59.60784149,-,-,1700,-,-,-,-,-,2.34053874,0.03900898,-,13.12335968,810.3123779,135.3626404,43.75598526,-79.87857056,14,14.46219826,32,7.22348976,22.56775665,55.92397308,3.92065573,-,14.50980377,912,41.28380585,41.01049805,18.8235302,79.02322388,-,4.86897516,567.3280029,358.480011
Fri May 25 19:32:54 EDT 2018,32:53.5,-79.87805982,43.7556232,19.980007,4,247.3445268,136.3148,0.75656772,-8.61074638,4.42568207,0.00246117,-,-,0,17.64705849,0.00815423,35.68627548,35.29411697,-,-,14.7157011,14.74755192,30.54141235,22.36564064,0.09188928,0.05546686,-,-,-,71.37255096,58.03921509,-,-,1637.5,-,-,-,-,-,2.23719049,0.03728651,-,13.12335968,811.4978027,136.3148041,43.75562286,-79.87805939,14,21.01323128,32,8.26566982,22.5339489,56.07206345,3.90748286,-,13.33333397,915,44.69400406,43.49598312,17.64705849,68.9145813,-,4.90471506,570.4489746,358.480011
Fri May 25 19:32:57 EDT 2018,32:56.6,-79.87753101,43.75522575,20.816822,6,247.7571403,134.96016,1.01035309,-9.01297188,3.8678329,0.03929725,-,-,0,16.47058868,-0.17430411,34.50980377,33.72549057,-,-,14.71390629,14.68968201,30.59936142,22.43242836,0.09782121,0.05547,-,-,-,71.76470947,57.25490189,-,-,1587.5,-,-,-,-,-,2.20132017,0.03668867,-,19.68503952,812.8515015,134.9601593,43.75522614,-79.87753296,14,21.04969215,32,8.88037872,22.50731087,56.20764923,3.89542246,-,12.54901981,918,46.56590652,45.9814682,16.86274529,72.08334351,-,4.94283819,573.3250122,358.480011
Fri May 25 19:33:00 EDT 2018,32:59.6,-79.87697081,43.75482146,21.749407,4,248.2134196,135.6491,0.93852705,-8.49582481,5.07451057,0.01336967,-,-,0,16.07843208,-0.01892782,32.15686417,31.37254906,-,-,14.71794415,14.6919241,30.70052528,22.54294014,0.06018119,0.05531111,-,-,-,70.19608307,57.25490189,-,-,1575,-,-,-,-,-,2.10574007,0.03509567,-,13.12335968,814.3485107,135.6490936,43.75482178,-79.87696838,14,20.85516739,32,9.5343647,22.49582863,56.35038376,3.88272548,-,12.15686321,921,48.65203476,48.46695328,16.07843208,82.49061584,-,4.98239803,576.5560303,358.480011
Fri May 25 19:33:03 EDT 2018,33:02.5,-79.8763965,43.75438985,22.341784,4,248.9172109,135.9084,0.55665189,-7.71292067,4.92008448,-0.011216,-,-,0,13.72549057,-0.015172,26.27450943,25.88235283,-,-,14.68968201,14.6555872,30.81049156,22.65982628,0.19946201,0.05536445,-,-,-,68.23529816,52.54901886,-,-,1400,-,-,-,-,-,1.77717733,0.02961962,-,13.12335968,816.6574707,135.9084015,43.75439072,-79.87639618,14,18.86320496,31,11.89165211,22.47117615,56.49330902,3.87001228,-,10.1960783,924,49.97714615,49.70969391,13.33333397,-,-,5.02379894,579.4429932,358.480011
Fri May 25 19:33:06 EDT 2018,33:05.6,-79.87580633,43.75395483,22.698921,4,249.2763204,135.40573,0.92296475,-7.8781209,4.21499205,-0.00671919,-,-,0,8.23529434,-0.00378334,14.90196133,13.72549057,-,-,14.85566616,14.54792213,30.88639069,22.73962021,0.05024635,0.05526005,-,-,-,36.07843018,36.86274338,-,-,1337.5,-,-,-,-,-,0.90574974,0.01509583,-,13.12335968,817.8356934,135.4057312,43.75395584,-79.87580872,14,-,31,23.33268356,22.46562386,56.62810898,3.8580215,-,5.49019623,926,50.77604294,49.70969391,10.58823586,-,-,5.06592369,582.3579712,358.480011
Fri May 25 19:33:09 EDT 2018,33:08.5,-79.87521548,43.75352013,22.531172,4,249.3758103,135.805,0.32082301,-7.65426302,4.77643251,0.03365615,-,-,0,7.84313726,-0.10045549,8.62745094,7.45098066,-,-,14.83996487,14.70762539,30.99910355,22.85843086,0.0467282,0.0549042,-,-,-,32.94117737,27.45098114,-,-,1325,-,-,-,-,-,0.83716047,0.01395267,-,13.12335968,818.1621094,135.8049927,43.75352097,-79.87521362,14,-,32,25.24435234,22.46268463,56.76413727,3.84592152,-,4.70588255,930,50.40079117,49.70969391,5.49019623,-,-,5.10805607,585.3179932,358.480011
Fri May 25 19:33:12 EDT 2018,33:11.5,-79.87463291,43.75308387,22.622448,4,249.3191066,136.3637,-0.21308395,-8.74003315,5.05056858,0.00220478,-,-,0,7.84313726,-0.00636351,15.68627453,14.90196133,-,-,14.51966,14.44788074,31.11047745,22.9762001,0.04514883,0.05460903,-,-,-,40.7843132,35.29411697,-,-,1325,-,-,-,-,-,0.86222088,0.01437035,-,13.12335968,817.9760742,136.3636932,43.75308228,-79.87463379,14,-,32,24.51062393,22.46190834,56.90227509,3.8336339,-,4.70588255,932,50.60497284,49.70969391,8.62745094,-,-,5.14997435,588.3430176,358.480011
